CLAVE SITIO,NOMBRE DEL SITIO,CUENCA,CLAVE ACUÍFERO,ACUÍFERO,ORGANISMO CUENCA,DIRECCIÓN LOCAL,ESTADO,MUNICIPIO,CUERPO DE AGUA,TIPO DE CUERPO DE AGUA,SUBTIPO CUERPO AGUA,LATITUD,LONGITUD
DLSAN6525,PRESA ING. MARIANO MOCTEZUMA,RÍO SANTA MARÍA 1,,,GOLFO NORTE,SAN LUIS POTOSÍ,SAN LUIS POTOSÍ,SANTA MARIA DEL RIO,PRESA MARIANO MOCTEZUMA,LÉNTICO,PRESA,21.68816,-100.77906
DLTAB2404,LOS ZAPOTES 6,GRIJALVA,,,FRONTERA SUR,TABASCO,TABASCO,CENTRO,EL ZAPOTE,LÓTICO,RÍO,17.9685,-92.85196
DLTAB2405,LA PARRILLA 6,PICHUCALCO,,,FRONTERA SUR,TABASCO,TABASCO,CENTRO,LAGUNA LARGA,LÉNTICO,LAGO,17.94034,-92.91672
DLTAB2406,LA PARRILLA 5,PICHUCALCO,,,FRONTERA SUR,TABASCO,TABASCO,CENTRO,LAGUNA LA MAJAHUA,LÉNTICO,LAGO,17.9501,-92.91592
DLTAB2407,LA PARRILLA 3,PICHUCALCO,,,FRONTERA SUR,TABASCO,TABASCO,CENTRO,RIO PICHUCALCO,LÓTICO,RÍO,17.92944,-92.92941
DLTAB2408,LOS ZAPOTES 4,GRIJALVA,,,FRONTERA SUR,TABASCO,TABASCO,CENTRO,EL ZAPOTE,LÓTICO,RÍO,18.00616,-92.84871
DLTAB2409,LOS ZAPOTES 3,GRIJALVA,,,FRONTERA SUR,TABASCO,TABASCO,CENTRO,EL ZAPOTE,LÓTICO,RÍO,17.95311,-92.84098
DLTAB2410,LOS ZAPOTES 2,GRIJALVA,,,FRONTERA SUR,TABASCO,TABASCO,CENTRO,CUERPO DE AGUA DEL HUMEDAL - LOS ZAPOTES,LÓTICO (HUMEDAL),ARROYO,18.00317,-92.86075
DLTAB2411,LOS ZAPOTES 1,GRIJALVA,,,FRONTERA SUR,TABASCO,TABASCO,CENTRO,EL ZAPOTE,LÓTICO,RÍO,17.99646,-92.84593
DLTAB2412,LA SIERRA PUEBLO NUEVO,DE LA SIERRA,,,FRONTERA SUR,TABASCO,TABASCO,CENTRO,RIO LA SIERRA,LÓTICO (HUMEDAL),RÍO,17.83265,-92.86871
